SenderSetup.xml loaded!
sending to host: localhost Port: 4000
Connecting to localhost:801 ...
.Segment Data Enabled: False
Marker Data Enabled: True
Unlabeled Marker Data Enabled: False
Device Data Enabled: False
... 2033/M_1 0 0 0
 2782/M_2 106.041 1441.17 1666.18
 2782/M_3 131.474 1424.24 1655.87
 2786/M_1 162.286 1424.74 1639.36
 2786/M_2 122.319 1462.06 1667.67
 2786/M_3 148.576 1445.99 1657.91
 2790/M_1 181.245 1445.25 1644.5
Frame Number: 2790 Latency: 0s  Markers: 3
 2790/M_2 138.757 1480.75 1671.26
 2790/M_3 166.252 1465.73 1663.26
 2794/M_1 200.046 1462.07 1651.02
 2794/M_2 155.925 1496.86 1676.34
 2794/M_3 183.957 1482.04 1669.82
 2798/M_1 218.901 1476.37 1660.36
 2798/M_2 172.491 1509.44 1683.66
 2798/M_3 201.36 1495.7 1678.46
 2802/M_1 238.177 1486.34 1671.98
 2802/M_2 190.616 1519.35 1692.96
 2802/M_3 219.61 1505.63 1689.09
 2806/M_1 258.009 1492.55 1685.2
